Topic:,Problem: ,Link :,Index
String,Split the Binary string into two substring with equal 0’s and 1’s,https://www.geeksforgeeks.org/split-the-binary-string-into-substrings-with-equal-number-of-0s-and-1s/,11
String,Word Wrap Problem [VERY IMP].,https://practice.geeksforgeeks.org/problems/word-wrap/0,12
String,EDIT Distance [Very Imp],https://practice.geeksforgeeks.org/problems/edit-distance3702/1,13
String,Find next greater number with same set of digits. [Very Very IMP],https://practice.geeksforgeeks.org/problems/next-permutation/0,14
String,Balanced Parenthesis problem.[Imp],https://practice.geeksforgeeks.org/problems/parenthesis-checker/0,15
String,Word break Problem[ Very Imp],https://practice.geeksforgeeks.org/problems/word-break/0,16
String,Rabin Karp Algo,https://www.geeksforgeeks.org/rabin-karp-algorithm-for-pattern-searching/,17
String,KMP Algo,https://practice.geeksforgeeks.org/problems/longest-prefix-suffix2527/1,18
String,Convert a Sentence into its equivalent mobile numeric keypad sequence.,https://www.geeksforgeeks.org/convert-sentence-equivalent-mobile-numeric-keypad-sequence/,19
String,Minimum number of bracket reversals needed to make an expression balanced.,https://practice.geeksforgeeks.org/problems/count-the-reversals/0,20
String,Count All Palindromic Subsequence in a given String.,https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1,21
String,Count of number of given string in 2D character array,https://www.geeksforgeeks.org/find-count-number-given-string-present-2d-character-array/,22
String,Search a Word in a 2D Grid of characters.,https://practice.geeksforgeeks.org/problems/find-the-string-in-grid/0,23
String,Boyer Moore Algorithm for Pattern Searching.,https://www.geeksforgeeks.org/boyer-moore-algorithm-for-pattern-searching/,24
String,Converting Roman Numerals to Decimal,https://practice.geeksforgeeks.org/problems/roman-number-to-integer/0,25
String,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,26
String,Number of flips to make binary string alternate,https://practice.geeksforgeeks.org/problems/min-number-of-flips/0,27
String,Find the first repeated word in string.,https://practice.geeksforgeeks.org/problems/second-most-repeated-string-in-a-sequence/0,28
String,Minimum number of swaps for bracket balancing.,https://practice.geeksforgeeks.org/problems/minimum-swaps-for-bracket-balancing/0,29
String,Find the longest common subsequence between two strings.,https://practice.geeksforgeeks.org/problems/longest-common-subsequence/0,30
String,Program to generate all possible valid IP addresses from given  string.,https://www.geeksforgeeks.org/program-generate-possible-valid-ip-addresses-given-string/,31
String,Write a program tofind the smallest window that contains all characters of string itself.,https://practice.geeksforgeeks.org/problems/smallest-distant-window/0,32
String,Rearrange characters in a string such that no two adjacent are same,https://practice.geeksforgeeks.org/problems/rearrange-characters/0,33
String,Minimum characters to be added at front to make string palindrome,https://www.geeksforgeeks.org/minimum-characters-added-front-make-string-palindrome/,34
String,"Given a sequence of words, print all anagrams together",https://practice.geeksforgeeks.org/problems/k-anagrams-1/0,35
String,Find the smallest window in a string containing all characters of another string,https://practice.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string/0,36
String,Recursively remove all adjacent duplicates,https://practice.geeksforgeeks.org/problems/consecutive-elements/0,37
String,String matching where one string contains wildcard characters,https://practice.geeksforgeeks.org/problems/wildcard-string-matching/0,38
String,Function to find Number of customers who could not get a computer,https://www.geeksforgeeks.org/function-to-find-number-of-customers-who-could-not-get-a-computer/,39
String,Transform One String to Another using Minimum Number of Given Operation,https://www.geeksforgeeks.org/transform-one-string-to-another-using-minimum-number-of-given-operation/,40
String,Check if two given strings are isomorphic to each other,https://practice.geeksforgeeks.org/problems/isomorphic-strings/0,41
String,Recursively print all sentences that can be formed from list of word lists,https://www.geeksforgeeks.org/recursively-print-all-sentences-that-can-be-formed-from-list-of-word-lists/,42
,,,
,,,
Searching & Sorting,Find first and last positions of an element in a sorted array,https://practice.geeksforgeeks.org/problems/first-and-last-occurrences-of-x/0,0
Searching & Sorting,Find a Fixed Point (Value equal to index) in a given array,https://practice.geeksforgeeks.org/problems/value-equal-to-index-value1330/1,1
Searching & Sorting,Search in a rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/,2
Searching & Sorting,square root of an integer,https://practice.geeksforgeeks.org/problems/count-squares3649/1,3
Searching & Sorting,Maximum and minimum of an array using minimum number of comparisons,https://practice.geeksforgeeks.org/problems/middle-of-three2926/1,4
Searching & Sorting,Optimum location of point to minimize total distance,https://www.geeksforgeeks.org/optimum-location-point-minimize-total-distance/,5
Searching & Sorting,Find the repeating and the missing,https://practice.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,6
Searching & Sorting,find majority element,https://practice.geeksforgeeks.org/problems/majority-element/0,7
Searching & Sorting,Searching in an array where adjacent differ by at most k,https://www.geeksforgeeks.org/searching-array-adjacent-differ-k/,8
Searching & Sorting,find a pair with a given difference,https://practice.geeksforgeeks.org/problems/find-pair-given-difference/0,9
Searching & Sorting,find four elements that sum to a given value,https://practice.geeksforgeeks.org/problems/find-all-four-sum-numbers/0,10
Searching & Sorting,maximum sum such that no 2 elements are adjacent,https://practice.geeksforgeeks.org/problems/stickler-theif/0,11
